__run_id,__done,DAT,Library,DataFrame size,avg_CPU_usage,avg_memory_usage,avg_execution_time,avg_energy_usage
run_55_repetition_1,TODO,csvin,Vaex,Small, , , , 
run_56_repetition_1,TODO,csvin,Polar,Large, , , , 
run_57_repetition_1,TODO,csvin,Polar,Small, , , , 
run_58_repetition_1,TODO,csvin,Dask,Large, , , , 
run_59_repetition_1,TODO,csvin,Dask,Small, , , , 
run_60_repetition_1,TODO,jsonin,Pandas,Large, , , , 
run_61_repetition_1,TODO,jsonin,Pandas,Small, , , , 
run_62_repetition_1,TODO,jsonin,Modin,Large, , , , 
run_63_repetition_1,TODO,jsonin,Modin,Small, , , , 
run_64_repetition_1,TODO,jsonin,Vaex,Large, , , , 
run_65_repetition_1,TODO,jsonin,Vaex,Small, , , , 
run_66_repetition_1,TODO,jsonin,Polar,Large, , , , 
run_67_repetition_1,TODO,jsonin,Polar,Small, , , , 
run_68_repetition_1,TODO,jsonin,Dask,Large, , , , 
run_69_repetition_1,TODO,jsonin,Dask,Small, , , , 
run_70_repetition_1,TODO,fillna,Pandas,Large, , , , 
run_71_repetition_1,TODO,fillna,Pandas,Small, , , , 
run_72_repetition_1,TODO,fillna,Modin,Large, , , , 
run_73_repetition_1,TODO,fillna,Modin,Small, , , , 
run_74_repetition_1,TODO,fillna,Vaex,Large, , , , 
run_75_repetition_1,TODO,fillna,Vaex,Small, , , , 
run_76_repetition_1,TODO,fillna,Polar,Large, , , , 
run_77_repetition_1,TODO,fillna,Polar,Small, , , , 
run_78_repetition_1,TODO,fillna,Dask,Large, , , , 
run_79_repetition_1,TODO,fillna,Dask,Small, , , , 
run_80_repetition_1,TODO,concat,Pandas,Large, , , , 
run_81_repetition_1,TODO,concat,Pandas,Small, , , , 
run_82_repetition_1,TODO,concat,Modin,Large, , , , 
run_83_repetition_1,TODO,concat,Modin,Small, , , , 
run_84_repetition_1,TODO,concat,Vaex,Large, , , , 
run_85_repetition_1,TODO,concat,Vaex,Small, , , , 
run_86_repetition_1,TODO,concat,Polar,Large, , , , 
run_87_repetition_1,TODO,concat,Polar,Small, , , , 
run_88_repetition_1,TODO,concat,Dask,Large, , , , 
run_89_repetition_1,TODO,concat,Dask,Small, , , , 
run_90_repetition_1,TODO,merge,Pandas,Large, , , , 
run_91_repetition_1,TODO,merge,Pandas,Small, , , , 
run_92_repetition_1,TODO,merge,Modin,Large, , , , 
run_93_repetition_1,TODO,merge,Modin,Small, , , , 
run_94_repetition_1,TODO,merge,Vaex,Large, , , , 
run_95_repetition_1,TODO,merge,Vaex,Small, , , , 
run_96_repetition_1,TODO,merge,Polar,Large, , , , 
run_97_repetition_1,TODO,merge,Polar,Small, , , , 
run_98_repetition_1,TODO,merge,Dask,Large, , , , 
run_99_repetition_1,TODO,merge,Dask,Small, , , , 
run_0_repetition_2,TODO,isna,Pandas,Large, , , , 
run_1_repetition_2,TODO,isna,Pandas,Small, , , , 
run_2_repetition_2,TODO,isna,Modin,Large, , , , 
run_3_repetition_2,TODO,isna,Modin,Small, , , , 
run_4_repetition_2,TODO,isna,Vaex,Large, , , , 
run_5_repetition_2,TODO,isna,Vaex,Small, , , , 
run_6_repetition_2,TODO,isna,Polar,Large, , , , 
run_7_repetition_2,TODO,isna,Polar,Small, , , , 
run_8_repetition_2,TODO,isna,Dask,Large, , , , 
run_9_repetition_2,TODO,isna,Dask,Small, , , , 
run_10_repetition_2,TODO,replace,Pandas,Large, , , , 
run_11_repetition_2,TODO,replace,Pandas,Small, , , , 
run_12_repetition_2,TODO,replace,Modin,Large, , , , 
run_13_repetition_2,TODO,replace,Modin,Small, , , , 
run_14_repetition_2,TODO,replace,Vaex,Large, , , , 
run_15_repetition_2,TODO,replace,Vaex,Small, , , , 
run_16_repetition_2,TODO,replace,Polar,Large, , , , 
run_17_repetition_2,TODO,replace,Polar,Small, , , , 
run_18_repetition_2,TODO,replace,Dask,Large, , , , 
run_19_repetition_2,TODO,replace,Dask,Small, , , , 
run_20_repetition_2,TODO,groupby,Pandas,Large, , , , 
run_21_repetition_2,TODO,groupby,Pandas,Small, , , , 
run_22_repetition_2,TODO,groupby,Modin,Large, , , , 
run_23_repetition_2,TODO,groupby,Modin,Small, , , , 
run_24_repetition_2,TODO,groupby,Vaex,Large, , , , 
run_25_repetition_2,TODO,groupby,Vaex,Small, , , , 
run_26_repetition_2,TODO,groupby,Polar,Large, , , , 
run_27_repetition_2,TODO,groupby,Polar,Small, , , , 
run_28_repetition_2,TODO,groupby,Dask,Large, , , , 
run_29_repetition_2,TODO,groupby,Dask,Small, , , , 
run_30_repetition_2,TODO,sort,Pandas,Large, , , , 
run_31_repetition_2,TODO,sort,Pandas,Small, , , , 
run_32_repetition_2,TODO,sort,Modin,Large, , , , 
run_33_repetition_2,TODO,sort,Modin,Small, , , , 
run_34_repetition_2,TODO,sort,Vaex,Large, , , , 
run_35_repetition_2,TODO,sort,Vaex,Small, , , , 
run_36_repetition_2,TODO,sort,Polar,Large, , , , 
run_37_repetition_2,TODO,sort,Polar,Small, , , , 
run_38_repetition_2,TODO,sort,Dask,Large, , , , 
run_39_repetition_2,TODO,sort,Dask,Small, , , , 
run_40_repetition_2,TODO,mean,Pandas,Large, , , , 
run_41_repetition_2,TODO,mean,Pandas,Small, , , , 
run_42_repetition_2,TODO,mean,Modin,Large, , , , 
run_43_repetition_2,TODO,mean,Modin,Small, , , , 
run_44_repetition_2,TODO,mean,Vaex,Large, , , , 
run_45_repetition_2,TODO,mean,Vaex,Small, , , , 
run_46_repetition_2,TODO,mean,Polar,Large, , , , 
run_47_repetition_2,TODO,mean,Polar,Small, , , , 
run_48_repetition_2,TODO,mean,Dask,Large, , , , 
run_49_repetition_2,TODO,mean,Dask,Small, , , , 
run_50_repetition_2,TODO,csvin,Pandas,Large, , , , 
run_51_repetition_2,TODO,csvin,Pandas,Small, , , , 
run_52_repetition_2,TODO,csvin,Modin,Large, , , , 
run_53_repetition_2,TODO,csvin,Modin,Small, , , , 
run_54_repetition_2,TODO,csvin,Vaex,Large, , , , 
run_55_repetition_2,TODO,csvin,Vaex,Small, , , , 
run_56_repetition_2,TODO,csvin,Polar,Large, , , , 
run_57_repetition_2,TODO,csvin,Polar,Small, , , , 
run_58_repetition_2,TODO,csvin,Dask,Large, , , , 
run_59_repetition_2,TODO,csvin,Dask,Small, , , , 
run_60_repetition_2,TODO,jsonin,Pandas,Large, , , , 
run_61_repetition_2,TODO,jsonin,Pandas,Small, , , , 
run_62_repetition_2,TODO,jsonin,Modin,Large, , , , 
run_63_repetition_2,TODO,jsonin,Modin,Small, , , , 
run_64_repetition_2,TODO,jsonin,Vaex,Large, , , , 
run_65_repetition_2,TODO,jsonin,Vaex,Small, , , , 
run_66_repetition_2,TODO,jsonin,Polar,Large, , , , 
run_67_repetition_2,TODO,jsonin,Polar,Small, , , , 
run_68_repetition_2,TODO,jsonin,Dask,Large, , , , 
run_69_repetition_2,TODO,jsonin,Dask,Small, , , , 
run_70_repetition_2,TODO,fillna,Pandas,Large, , , , 
run_71_repetition_2,TODO,fillna,Pandas,Small, , , , 
run_72_repetition_2,TODO,fillna,Modin,Large, , , , 
run_73_repetition_2,TODO,fillna,Modin,Small, , , , 
run_74_repetition_2,TODO,fillna,Vaex,Large, , , , 
run_75_repetition_2,TODO,fillna,Vaex,Small, , , , 
run_76_repetition_2,TODO,fillna,Polar,Large, , , , 
run_77_repetition_2,TODO,fillna,Polar,Small, , , , 
run_78_repetition_2,TODO,fillna,Dask,Large, , , , 
run_79_repetition_2,TODO,fillna,Dask,Small, , , , 
run_80_repetition_2,TODO,concat,Pandas,Large, , , , 
run_81_repetition_2,TODO,concat,Pandas,Small, , , , 
run_82_repetition_2,TODO,concat,Modin,Large, , , , 
run_83_repetition_2,TODO,concat,Modin,Small, , , , 
run_84_repetition_2,TODO,concat,Vaex,Large, , , , 
run_85_repetition_2,TODO,concat,Vaex,Small, , , , 
run_86_repetition_2,TODO,concat,Polar,Large, , , , 
run_87_repetition_2,TODO,concat,Polar,Small, , , , 
run_88_repetition_2,TODO,concat,Dask,Large, , , , 
run_89_repetition_2,TODO,concat,Dask,Small, , , , 
run_90_repetition_2,TODO,merge,Pandas,Large, , , , 
run_91_repetition_2,TODO,merge,Pandas,Small, , , , 
run_92_repetition_2,TODO,merge,Modin,Large, , , , 
run_93_repetition_2,TODO,merge,Modin,Small, , , , 
run_94_repetition_2,TODO,merge,Vaex,Large, , , , 
run_95_repetition_2,TODO,merge,Vaex,Small, , , , 
run_96_repetition_2,TODO,merge,Polar,Large, , , , 
run_97_repetition_2,TODO,merge,Polar,Small, , , , 
run_98_repetition_2,TODO,merge,Dask,Large, , , , 
run_99_repetition_2,TODO,merge,Dask,Small, , , , 
run_0_repetition_3,TODO,isna,Pandas,Large, , , , 
run_1_repetition_3,TODO,isna,Pandas,Small, , , , 
run_2_repetition_3,TODO,isna,Modin,Large, , , , 
run_3_repetition_3,TODO,isna,Modin,Small, , , , 
run_4_repetition_3,TODO,isna,Vaex,Large, , , , 
run_5_repetition_3,TODO,isna,Vaex,Small, , , , 
run_6_repetition_3,TODO,isna,Polar,Large, , , , 
run_7_repetition_3,TODO,isna,Polar,Small, , , , 
run_8_repetition_3,TODO,isna,Dask,Large, , , , 
run_9_repetition_3,TODO,isna,Dask,Small, , , , 
run_10_repetition_3,TODO,replace,Pandas,Large, , , , 
run_11_repetition_3,TODO,replace,Pandas,Small, , , , 
run_12_repetition_3,TODO,replace,Modin,Large, , , , 
run_13_repetition_3,TODO,replace,Modin,Small, , , , 
run_14_repetition_3,TODO,replace,Vaex,Large, , , , 
run_15_repetition_3,TODO,replace,Vaex,Small, , , , 
run_16_repetition_3,TODO,replace,Polar,Large, , , , 
run_17_repetition_3,TODO,replace,Polar,Small, , , , 
run_18_repetition_3,TODO,replace,Dask,Large, , , , 
run_19_repetition_3,TODO,replace,Dask,Small, , , , 
run_20_repetition_3,TODO,groupby,Pandas,Large, , , , 
run_21_repetition_3,TODO,groupby,Pandas,Small, , , , 
run_22_repetition_3,TODO,groupby,Modin,Large, , , , 
run_23_repetition_3,TODO,groupby,Modin,Small, , , , 
run_24_repetition_3,TODO,groupby,Vaex,Large, , , , 
run_25_repetition_3,TODO,groupby,Vaex,Small, , , , 
run_26_repetition_3,TODO,groupby,Polar,Large, , , , 
run_27_repetition_3,TODO,groupby,Polar,Small, , , , 
run_28_repetition_3,TODO,groupby,Dask,Large, , , , 
run_29_repetition_3,TODO,groupby,Dask,Small, , , , 
run_30_repetition_3,TODO,sort,Pandas,Large, , , , 
run_31_repetition_3,TODO,sort,Pandas,Small, , , , 
run_32_repetition_3,TODO,sort,Modin,Large, , , , 
run_33_repetition_3,TODO,sort,Modin,Small, , , , 
run_34_repetition_3,TODO,sort,Vaex,Large, , , , 
run_35_repetition_3,TODO,sort,Vaex,Small, , , , 
run_36_repetition_3,TODO,sort,Polar,Large, , , , 
run_37_repetition_3,TODO,sort,Polar,Small, , , , 
run_38_repetition_3,TODO,sort,Dask,Large, , , , 
run_39_repetition_3,TODO,sort,Dask,Small, , , , 
run_40_repetition_3,TODO,mean,Pandas,Large, , , , 
run_41_repetition_3,TODO,mean,Pandas,Small, , , , 
run_42_repetition_3,TODO,mean,Modin,Large, , , , 
run_43_repetition_3,TODO,mean,Modin,Small, , , , 
run_44_repetition_3,TODO,mean,Vaex,Large, , , , 
run_45_repetition_3,TODO,mean,Vaex,Small, , , , 
run_46_repetition_3,TODO,mean,Polar,Large, , , , 
run_47_repetition_3,TODO,mean,Polar,Small, , , , 
run_48_repetition_3,TODO,mean,Dask,Large, , , , 
run_49_repetition_3,TODO,mean,Dask,Small, , , , 
run_50_repetition_3,TODO,csvin,Pandas,Large, , , , 
run_51_repetition_3,TODO,csvin,Pandas,Small, , , , 
run_52_repetition_3,TODO,csvin,Modin,Large, , , , 
run_53_repetition_3,TODO,csvin,Modin,Small, , , , 
run_54_repetition_3,TODO,csvin,Vaex,Large, , , , 
run_55_repetition_3,TODO,csvin,Vaex,Small, , , , 
run_56_repetition_3,TODO,csvin,Polar,Large, , , , 
run_57_repetition_3,TODO,csvin,Polar,Small, , , , 
run_58_repetition_3,TODO,csvin,Dask,Large, , , , 
run_59_repetition_3,TODO,csvin,Dask,Small, , , , 
run_60_repetition_3,TODO,jsonin,Pandas,Large, , , , 
run_61_repetition_3,TODO,jsonin,Pandas,Small, , , , 
run_62_repetition_3,TODO,jsonin,Modin,Large, , , , 
run_63_repetition_3,TODO,jsonin,Modin,Small, , , , 
run_64_repetition_3,TODO,jsonin,Vaex,Large, , , , 
run_65_repetition_3,TODO,jsonin,Vaex,Small, , , , 
run_66_repetition_3,TODO,jsonin,Polar,Large, , , , 
run_67_repetition_3,TODO,jsonin,Polar,Small, , , , 
run_68_repetition_3,TODO,jsonin,Dask,Large, , , , 
run_69_repetition_3,TODO,jsonin,Dask,Small, , , , 
run_70_repetition_3,TODO,fillna,Pandas,Large, , , , 
run_71_repetition_3,TODO,fillna,Pandas,Small, , , , 
run_72_repetition_3,TODO,fillna,Modin,Large, , , , 
run_73_repetition_3,TODO,fillna,Modin,Small, , , , 
run_74_repetition_3,TODO,fillna,Vaex,Large, , , , 
run_75_repetition_3,TODO,fillna,Vaex,Small, , , , 
run_76_repetition_3,TODO,fillna,Polar,Large, , , , 
run_77_repetition_3,TODO,fillna,Polar,Small, , , , 
run_78_repetition_3,TODO,fillna,Dask,Large, , , , 
run_79_repetition_3,TODO,fillna,Dask,Small, , , , 
run_80_repetition_3,TODO,concat,Pandas,Large, , , , 
run_81_repetition_3,TODO,concat,Pandas,Small, , , , 
run_82_repetition_3,TODO,concat,Modin,Large, , , , 
run_83_repetition_3,TODO,concat,Modin,Small, , , , 
run_84_repetition_3,TODO,concat,Vaex,Large, , , , 
run_85_repetition_3,TODO,concat,Vaex,Small, , , , 
run_86_repetition_3,TODO,concat,Polar,Large, , , , 
run_87_repetition_3,TODO,concat,Polar,Small, , , , 
run_88_repetition_3,TODO,concat,Dask,Large, , , , 
run_89_repetition_3,TODO,concat,Dask,Small, , , , 
run_90_repetition_3,TODO,merge,Pandas,Large, , , , 
run_91_repetition_3,TODO,merge,Pandas,Small, , , , 
run_92_repetition_3,TODO,merge,Modin,Large, , , , 
run_93_repetition_3,TODO,merge,Modin,Small, , , , 
run_94_repetition_3,TODO,merge,Vaex,Large, , , , 
run_95_repetition_3,TODO,merge,Vaex,Small, , , , 
run_96_repetition_3,TODO,merge,Polar,Large, , , , 
run_97_repetition_3,TODO,merge,Polar,Small, , , , 
run_98_repetition_3,TODO,merge,Dask,Large, , , , 
run_99_repetition_3,TODO,merge,Dask,Small, , , , 
run_0_repetition_4,TODO,isna,Pandas,Large, , , , 
run_1_repetition_4,TODO,isna,Pandas,Small, , , , 
run_2_repetition_4,TODO,isna,Modin,Large, , , , 
run_3_repetition_4,TODO,isna,Modin,Small, , , , 
run_4_repetition_4,TODO,isna,Vaex,Large, , , , 
run_5_repetition_4,TODO,isna,Vaex,Small, , , , 
run_6_repetition_4,TODO,isna,Polar,Large, , , , 
run_7_repetition_4,TODO,isna,Polar,Small, , , , 
run_8_repetition_4,TODO,isna,Dask,Large, , , , 
run_9_repetition_4,TODO,isna,Dask,Small, , , , 
run_10_repetition_4,TODO,replace,Pandas,Large, , , , 
run_11_repetition_4,TODO,replace,Pandas,Small, , , , 
run_12_repetition_4,TODO,replace,Modin,Large, , , , 
run_13_repetition_4,TODO,replace,Modin,Small, , , , 
run_14_repetition_4,TODO,replace,Vaex,Large, , , , 
run_15_repetition_4,TODO,replace,Vaex,Small, , , , 
run_16_repetition_4,TODO,replace,Polar,Large, , , , 
run_17_repetition_4,TODO,replace,Polar,Small, , , , 
run_18_repetition_4,TODO,replace,Dask,Large, , , , 
run_19_repetition_4,TODO,replace,Dask,Small, , , , 
run_20_repetition_4,TODO,groupby,Pandas,Large, , , , 
run_21_repetition_4,TODO,groupby,Pandas,Small, , , , 
run_22_repetition_4,TODO,groupby,Modin,Large, , , , 
run_23_repetition_4,TODO,groupby,Modin,Small, , , , 
run_24_repetition_4,TODO,groupby,Vaex,Large, , , , 
run_25_repetition_4,TODO,groupby,Vaex,Small, , , , 
run_26_repetition_4,TODO,groupby,Polar,Large, , , , 
run_27_repetition_4,TODO,groupby,Polar,Small, , , , 
run_28_repetition_4,TODO,groupby,Dask,Large, , , , 
run_29_repetition_4,TODO,groupby,Dask,Small, , , , 
run_30_repetition_4,TODO,sort,Pandas,Large, , , , 
run_31_repetition_4,TODO,sort,Pandas,Small, , , , 
run_32_repetition_4,TODO,sort,Modin,Large, , , , 
run_33_repetition_4,TODO,sort,Modin,Small, , , , 
run_34_repetition_4,TODO,sort,Vaex,Large, , , , 
run_35_repetition_4,TODO,sort,Vaex,Small, , , , 
run_36_repetition_4,TODO,sort,Polar,Large, , , , 
run_37_repetition_4,TODO,sort,Polar,Small, , , , 
run_38_repetition_4,TODO,sort,Dask,Large, , , , 
run_39_repetition_4,TODO,sort,Dask,Small, , , , 
run_40_repetition_4,TODO,mean,Pandas,Large, , , , 
run_41_repetition_4,TODO,mean,Pandas,Small, , , , 
run_42_repetition_4,TODO,mean,Modin,Large, , , , 
run_43_repetition_4,TODO,mean,Modin,Small, , , , 
run_44_repetition_4,TODO,mean,Vaex,Large, , , , 
run_45_repetition_4,TODO,mean,Vaex,Small, , , , 
run_46_repetition_4,TODO,mean,Polar,Large, , , , 
run_47_repetition_4,TODO,mean,Polar,Small, , , , 
run_48_repetition_4,TODO,mean,Dask,Large, , , , 
run_49_repetition_4,TODO,mean,Dask,Small, , , , 
run_50_repetition_4,TODO,csvin,Pandas,Large, , , , 
run_51_repetition_4,TODO,csvin,Pandas,Small, , , , 
run_52_repetition_4,TODO,csvin,Modin,Large, , , , 
run_53_repetition_4,TODO,csvin,Modin,Small, , , , 
run_54_repetition_4,TODO,csvin,Vaex,Large, , , , 
run_55_repetition_4,TODO,csvin,Vaex,Small, , , , 
run_56_repetition_4,TODO,csvin,Polar,Large, , , , 
run_57_repetition_4,TODO,csvin,Polar,Small, , , , 
run_58_repetition_4,TODO,csvin,Dask,Large, , , , 
run_59_repetition_4,TODO,csvin,Dask,Small, , , , 
run_60_repetition_4,TODO,jsonin,Pandas,Large, , , , 
run_61_repetition_4,TODO,jsonin,Pandas,Small, , , , 
